"","GO.ID","Term","Annotated","Significant","Expected","fisher"
"52","GO:0003678","DNA helicase activity",1293,94,68.04,"0.00121"
"53","GO:0004714","transmembrane receptor protein tyrosine ...",369,34,19.42,"0.00124"
"54","GO:0003968","RNA-directed 5'-3' RNA polymerase activi...",10,4,0.53,"0.00125"
"55","GO:0003910","DNA ligase (ATP) activity",333,31,17.52,"0.00168"
"56","GO:0031625","ubiquitin protein ligase binding",310,29,16.31,"0.00216"
"57","GO:0004813","alanine-tRNA ligase activity",296,28,15.58,"0.00217"
"58","GO:0000166","nucleotide binding",40392,2535,2125.52,"0.00254"
"59","GO:0090729","toxin activity",2,2,0.11,"0.00277"
"60","GO:0003989","acetyl-CoA carboxylase activity",154,17,8.1,"0.00322"
"61","GO:0030151","molybdenum ion binding",438,37,23.05,"0.00352"
"62","GO:0008810","cellulase activity",7,3,0.37,"0.00434"
"63","GO:0004748","ribonucleoside-diphosphate reductase act...",147,16,7.74,"0.00480"
"64","GO:0003997","acyl-CoA oxidase activity",348,30,18.31,"0.00600"
"65","GO:0016616","oxidoreductase activity, acting on the C...",1880,132,98.93,"0.00605"
"66","GO:0015269","calcium-activated potassium channel acti...",151,15,7.95,"0.00667"
"67","GO:0005089","Rho guanyl-nucleotide exchange factor ac...",2091,135,110.03,"0.00959"
"68","GO:0004176","ATP-dependent peptidase activity",145,15,7.63,"0.00974"
"69","GO:0004356","glutamate-ammonia ligase activity",160,16,8.42,"0.01060"
"70","GO:0008080","N-acetyltransferase activity",1521,90,80.04,"0.01261"
"71","GO:0005525","GTP binding",5129,306,269.9,"0.01353"
"72","GO:0004367","glycerol-3-phosphate dehydrogenase [NAD+...",151,15,7.95,"0.01380"
"73","GO:0004616","phosphogluconate dehydrogenase (decarbox...",423,33,22.26,"0.01677"
"74","GO:0015299","solute:proton antiporter activity",169,16,8.89,"0.01714"
"75","GO:0004518","nuclease activity",4149,256,218.33,"0.01766"
"76","GO:0008417","fucosyltransferase activity",292,21,15.37,"0.01880"
"77","GO:0004096","catalase activity",157,15,8.26,"0.01905"
"78","GO:0003922","GMP synthase (glutamine-hydrolyzing) act...",145,14,7.63,"0.02116"
"79","GO:0005230","extracellular ligand-gated ion channel a...",1134,82,59.67,"0.02150"
"80","GO:0016624","oxidoreductase activity, acting on the a...",432,33,22.73,"0.02196"
"81","GO:0008017","microtubule binding",1916,121,100.82,"0.02402"
"82","GO:0020037","heme binding",1146,76,60.31,"0.02496"
"83","GO:0016788","hydrolase activity, acting on ester bond...",11956,599,629.15,"0.02571"
"84","GO:0008408","3'-5' exonuclease activity",998,64,52.52,"0.02613"
"85","GO:0004970","ionotropic glutamate receptor activity",765,53,40.26,"0.02720"
"86","GO:0015930","glutamate synthase activity",152,14,8,"0.03020"
"87","GO:0004677","DNA-dependent protein kinase activity",70,8,3.68,"0.03043"
"88","GO:0042030","ATPase inhibitor activity",154,14,8.1,"0.03323"
"89","GO:0017025","TBP-class protein binding",274,22,14.42,"0.03358"
"90","GO:0002161","aminoacyl-tRNA editing activity",151,10,7.95,"0.03503"
"91","GO:0043140","ATP-dependent 3'-5' DNA helicase activit...",156,14,8.21,"0.03648"
"92","GO:0003883","CTP synthase activity",160,14,8.42,"0.04364"
"93","GO:0004066","asparagine synthase (glutamine-hydrolyzi...",190,16,10,"0.04401"
"94","GO:0015098","molybdate ion transmembrane transporter ...",26,4,1.37,"0.04538"
"95","GO:0004375","glycine dehydrogenase (decarboxylating) ...",148,13,7.79,"0.04924"
